Entrances,Not_reside,Used,floors,appartment,RuleID,Name,Shape_Leng,Shape_Area,lat,lon,Usage_Grouped,TileX,TileY,solar_2019,solar_2020,solar_2021,solar_2022,solar_2023,solar_2024
1,0,מגורים,4,16,1,,76.67475068,253.288785,31.24800839,34.79555506,Residence,386437.1042390037,329774.8674198226,0,0,0,0,0,0
1,0,מגורים,2,4,1,,48.40962217,115.333216,31.24813621,34.79578967,Residence,386436.2747579106,329776.18955025147,0,0,0,0,0,0
1,0,בית כנסת,2,0,1,,61.71917708,230.8870828,31.24841038,34.79613196,Public,386434.4926029536,329778.11931205826,0,0,0,0,0,1
1,1,ישיבה,2,0,1,,59.75656013,217.2391477,31.24844324,34.79710025,Public,386434.29564993485,329783.5716594312,0,0,0,0,0,0
1,1,גן ילדים,1,0,1,,52.51759845,171.472064,31.24836761,34.79771476,Public,386434.7999083897,329787.03117561643,0,0,0,0,0,0
4,0,מגורים,3,4,1,,67.85716512,189.2378775,31.24943038,34.79557397,Residence,386427.8282658016,329774.9876119156,0,0,0,0,0,0
2,0,מגורים,3,4,1,,75.51413077,216.372128,31.24944463,34.79588644,Residence,386427.7410311351,329776.7469700336,0,0,0,0,0,0
3,0,מגורים,2,4,1,,74.14924713,190.296832,31.24940625,34.79626372,Residence,386427.9983545234,329778.8707068988,0,0,0,0,0,0
3,0,מגורים,2,4,1,,78.22170242,175.162496,31.24940781,34.79655979,Residence,386427.9935895057,329780.5376505592,0,0,0,0,0,0
2,0,מגורים,2,4,1,,73.71885236,219.188192,31.24946079,34.79686695,Residence,386427.65354104486,329782.2675574493,0,0,0,0,0,0
4,0,מגורים,2,4,1,,67.64231187,208.874432,31.24948414,34.79717125,Residence,386427.5067480965,329783.9810839628,0,0,0,0,0,0
1,0,מגורים,2,4,1,,71.61596184,223.3998765,31.24966812,34.79741485,Residence,386426.3108452171,329785.3544267323,0,0,0,0,0,0
3,0,מגורים,2,4,1,,72.84408474,186.378528,31.24948525,34.79746928,Residence,386427.5049305993,329785.65910940623,0,0,0,0,0,0
1,1,מקלט,1,0,1,,27.40648774,33.600096,31.24891954,34.79703635,Public,386431.1876237551,329783.21617380925,0,0,0,0,0,0
1,1,משרדים,2,0,1,,97.52151614,415.9574242,31.24899412,34.79729167,Public,386430.7057210979,329784.6544488559,0,0,0,0,0,0
1,1,משרדים,1,0,1,,57.90272575,175.62928,31.24888078,34.79683032,Public,386431.4367469297,329782.0557635975,0,0,0,0,0,0
1,1,בית כנסת,1,0,1,,121.0199175,395.90448,31.24869477,34.79641967,Public,386432.6427195617,329779.7418814022,0,0,0,0,0,0
1,1,בית כנסת,2,0,1,,87.81315518,399.7613155,31.24861013,34.79577822,Public,386433.1832441224,329776.1294678694,0,0,0,0,0,0
1,0,בית כנסת,2,0,1,,49.85568835,143.620416,31.2482687,34.79643992,Public,386435.42226153176,329779.85201861744,0,0,0,0,0,0
1,0,בית כנסת,2,0,1,,70.6856734,266.4249328,31.24837103,34.79627216,Public,386434.7517948805,329778.9083523626,0,0,0,0,0,0
1,1,בית כנסת,2,0,1,,60.26945039,212.524192,31.24850608,34.79595182,Public,386433.8651135159,329777.1059249424,0,0,0,0,0,1
1,1,מקלט,1,0,1,,5.671697133,1.76073525,31.24877711,34.79601886,Public,386432.09833879536,329777.485939012,0,0,0,0,0,0
1,1,מקלט,1,0,1,,71.17353473,283.7158968,31.24879939,34.79610369,Public,386431.9545346813,329777.9637728587,0,0,0,0,0,1
1,1,מקלט,1,0,1,,28.06997563,20.49273675,31.24878684,34.79596259,Public,386432.0338451927,329777.1692135079,0,0,0,0,0,0
